Action space: 4
Episode 305 | Reward: 0.0 | Epsilon 0.884
Episode 306 | Reward: 1.0 | Epsilon 0.883
Episode 307 | Reward: 1.0 | Epsilon 0.883
Episode 308 | Reward: 2.0 | Epsilon 0.883
Episode 309 | Reward: 1.0 | Epsilon 0.882
Episode 310 | Reward: 0.0 | Epsilon 0.882
Episode 311 | Reward: 0.0 | Epsilon 0.882
Episode 312 | Reward: 1.0 | Epsilon 0.881
Episode 313 | Reward: 1.0 | Epsilon 0.881
Episode 314 | Reward: 1.0 | Epsilon 0.881
Episode 315 | Reward: 1.0 | Epsilon 0.880
Episode 316 | Reward: 0.0 | Epsilon 0.880
Target updated at step 60000
Episode 317 | Reward: 0.0 | Epsilon 0.880
Episode 318 | Reward: 1.0 | Epsilon 0.879
Episode 319 | Reward: 1.0 | Epsilon 0.879
Episode 320 | Reward: 0.0 | Epsilon 0.879
Episode 321 | Reward: 2.0 | Epsilon 0.878
Episode 322 | Reward: 0.0 | Epsilon 0.878
Episode 323 | Reward: 0.0 | Epsilon 0.878
Episode 324 | Reward: 2.0 | Epsilon 0.877
Episode 325 | Reward: 1.0 | Epsilon 0.877
Episode 326 | Reward: 1.0 | Epsilon 0.877
Episode 327 | Reward: 1.0 | Epsilon 0.876
Episode 328 | Reward: 1.0 | Epsilon 0.876
Episode 329 | Reward: 3.0 | Epsilon 0.876
Episode 330 | Reward: 2.0 | Epsilon 0.875
Episode 331 | Reward: 0.0 | Epsilon 0.875
Episode 332 | Reward: 3.0 | Epsilon 0.874
Episode 333 | Reward: 1.0 | Epsilon 0.874
Episode 334 | Reward: 1.0 | Epsilon 0.874
Episode 335 | Reward: 0.0 | Epsilon 0.873
Episode 336 | Reward: 0.0 | Epsilon 0.873
Episode 337 | Reward: 1.0 | Epsilon 0.873
Episode 338 | Reward: 1.0 | Epsilon 0.872
Episode 339 | Reward: 1.0 | Epsilon 0.872
Episode 340 | Reward: 0.0 | Epsilon 0.872
Episode 341 | Reward: 0.0 | Epsilon 0.871
Episode 342 | Reward: 0.0 | Epsilon 0.871
Episode 343 | Reward: 1.0 | Epsilon 0.871
Episode 344 | Reward: 0.0 | Epsilon 0.871
Episode 345 | Reward: 1.0 | Epsilon 0.870
Target updated at step 65000
Episode 346 | Reward: 3.0 | Epsilon 0.870
Episode 347 | Reward: 1.0 | Epsilon 0.869
