Action space: 4
Episode 475 | Reward: 0.0 | Epsilon 0.910
Episode 476 | Reward: 2.0 | Epsilon 0.910
Target updated at step 90000
Episode 477 | Reward: 1.0 | Epsilon 0.910
Episode 478 | Reward: 4.0 | Epsilon 0.910
Episode 479 | Reward: 1.0 | Epsilon 0.909
Episode 480 | Reward: 1.0 | Epsilon 0.909
Episode 481 | Reward: 3.0 | Epsilon 0.909
Episode 482 | Reward: 4.0 | Epsilon 0.909
Episode 483 | Reward: 0.0 | Epsilon 0.909
Episode 484 | Reward: 1.0 | Epsilon 0.908
Episode 485 | Reward: 5.0 | Epsilon 0.908
Episode 486 | Reward: 0.0 | Epsilon 0.908
Episode 487 | Reward: 1.0 | Epsilon 0.908
Episode 488 | Reward: 0.0 | Epsilon 0.908
Episode 489 | Reward: 3.0 | Epsilon 0.907
Episode 490 | Reward: 4.0 | Epsilon 0.907
Episode 491 | Reward: 3.0 | Epsilon 0.907
Episode 492 | Reward: 2.0 | Epsilon 0.907
Episode 493 | Reward: 1.0 | Epsilon 0.906
Episode 494 | Reward: 0.0 | Epsilon 0.906
Episode 495 | Reward: 2.0 | Epsilon 0.906
Episode 496 | Reward: 1.0 | Epsilon 0.906
Episode 497 | Reward: 0.0 | Epsilon 0.906
Episode 498 | Reward: 0.0 | Epsilon 0.906
Episode 499 | Reward: 1.0 | Epsilon 0.905
Episode 500 | Reward: 1.0 | Epsilon 0.905
Episode 501 | Reward: 1.0 | Epsilon 0.905
Target updated at step 95000
Episode 502 | Reward: 0.0 | Epsilon 0.905
Episode 503 | Reward: 2.0 | Epsilon 0.905
Episode 504 | Reward: 2.0 | Epsilon 0.905
Episode 505 | Reward: 2.0 | Epsilon 0.904
Episode 506 | Reward: 1.0 | Epsilon 0.904
Episode 507 | Reward: 0.0 | Epsilon 0.904
Episode 508 | Reward: 0.0 | Epsilon 0.904
Episode 509 | Reward: 1.0 | Epsilon 0.904
Episode 510 | Reward: 4.0 | Epsilon 0.903
